ID,敵種別,HP,初期座標X,初期座標Y,初期座標Z,移動可能範囲
1,0,2,1423,226,-472,1000.0f
2,0,2,1290,-515,-1026,1000.0f
3,0,2,1163,-1168,105,1000.0f
4,0,2,986,-665,1376,1000.0f
5,0,2,1231,260,1009,1000.0f
6,0,2,166,-146,-1767,1000.0f
7,0,2,243,-1082,-1681,1000.0f
8,0,2,-46,1284,-152,1000.0f
9,0,2,493,900,-1001,1000.0f
10,0,2,-484,831,1638,1000.0f
11,0,2,-377,76,1672,1000.0f
12,0,2,-72,-1180,797,1000.0f
13,0,2,51,-1820,-349,1000.0f
14,0,2,-161,181,-603,1000.0f
15,0,2,-1461,434,879,1000.0f
16,0,2,-842,1047,1239,1000.0f
17,0,2,511,1299,232,1000.0f
18,0,2,-765,1365,408,1000.0f
19,0,2,-847,1126,-102,1000.0f
