ID,種別,グレード,価値,初期座標X,初期座標Y,初期座標Z,大きさ,,,
1 ,1 ,1 ,300 ,39 ,0 ,-6139 ,120 ,,,
2 ,1 ,1 ,350 ,-955 ,0 ,-6176 ,120 ,,,
3 ,1 ,1 ,250 ,-1865 ,0 ,-6719 ,120 ,,,
4 ,1 ,1 ,350 ,-2492 ,0 ,-4265 ,120 ,,,
5 ,1 ,1 ,370 ,2664 ,0 ,-3865 ,120 ,,,
6 ,1 ,1 ,420 ,-1345 ,0 ,-2790 ,120 ,,,
7 ,1 ,1 ,500 ,-5230 ,0 ,-3939 ,120 ,,,
8 ,1 ,1 ,550 ,-4977 ,0 ,-2084 ,120 ,,,
9 ,1 ,1 ,470 ,-4937 ,0 ,-1117 ,120 ,,,
10 ,1 ,1 ,600 ,-933 ,0 ,-653 ,120 ,,,
11 ,1 ,1 ,580 ,-2971 ,0 ,-400 ,120 ,,,
12 ,1 ,1 ,570 ,2890 ,0 ,-1660 ,120 ,,,
13 ,1 ,1 ,550 ,940 ,0 ,-2909 ,120 ,,,
14 ,1 ,1 ,500 ,1770 ,0 ,-660 ,120 ,,,
15 ,0 ,2 ,900 ,5013 ,0 ,1465 ,2 ,,,
16 ,0 ,2 ,1000 ,2955 ,0 ,1349 ,2 ,,,
17 ,0 ,2 ,1100 ,157 ,0 ,1403 ,2 ,,,
18 ,0 ,2 ,1000 ,-2793 ,0 ,1548 ,2 ,,,
19 ,0 ,2 ,1200 ,-3116 ,0 ,2808 ,2 ,,,
20 ,0 ,2 ,1300 ,804 ,0 ,3568 ,2 ,,,
21 ,0 ,2 ,1000 ,2843 ,0 ,3540 ,2 ,,,
22 ,0 ,2 ,1500 ,-1174 ,0 ,5811 ,2 ,,,
23 ,0 ,3 ,1600 ,-75 ,0 ,6094 ,2 ,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
